date,season,city,venue,team1,team2,toss_winner,toss_decision,team1_runs,team1_wickets,team2_runs,team2_wickets,winner,result_type,win_by_runs,win_by_wickets,player_of_match,match_referee,umpire1,umpire2,tv_umpire,reserve_umpire,overs_limit,team1_players,team2_players,year
2008-04-18,2007/08,Bangalore,M Chinnaswamy Stadium,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,field,82,10,222,3,Kolkata Knight Riders,complete,140,0,BB McCullum,J Srinath,Asad Rauf,RE Koertzen,AM Saheba,VN Kulkarni,20,"R Dravid, W Jaffer, V Kohli, JH Kallis, CL White, MV Boucher, B Akhil, AA Noffke, P Kumar, Z Khan, SB Joshi","SC Ganguly, BB McCullum, RT Ponting, DJ Hussey, Mohammad Hafeez, LR Shukla, WP Saha, AB Agarkar, AB Dinda, M Kartik, I Sharma",2008
2008-04-19,2007/08,Chandigarh,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,bat,207,4,240,5,Chennai Super Kings,complete,33,0,MEK Hussey,S Venkataraghavan,MR Benson,SL Shastri,RB Tiffin,MSS Ranawat,20,"K Goel, JR Hopes, KC Sangakkara, Yuvraj Singh, SM Katich, IK Pathan, P Dharmani, B Lee, PP Chawla, WA Mota, S Sreesanth","PA Patel, ML Hayden, MEK Hussey, MS Dhoni, SK Raina, JDP Oram, S Badrinath, Joginder Sharma, P Amarnath, MS Gony, M Muralitharan",2008
2008-04-19,2007/08,Delhi,Feroz Shah Kotla,Delhi Daredevils,Rajasthan Royals,Rajasthan Royals,bat,132,1,129,8,Delhi Daredevils,complete,0,9,MF Maharoof,GR Viswanath,Aleem Dar,GA Pratapkumar,IL Howell,Unknown,20,"G Gambhir, V Sehwag, S Dhawan, MK Tiwary, KD Karthik, R Bhatia, M Manhas, DL Vettori, MF Maharoof, B Geeves, GD McGrath","T Kohli, YK Pathan, SR Watson, M Kaif, DS Lehmann, RA Jadeja, M Rawat, D Salunkhe, SK Warne, SK Trivedi, MM Patel",2008
2008-04-20,2007/08,Kolkata,Eden Gardens,Kolkata Knight Riders,Deccan Chargers,Deccan Chargers,bat,112,5,110,10,Kolkata Knight Riders,complete,0,5,DJ Hussey,FM Engineer,BF Bowden,K Hariharan,Asad Rauf,F Gomes,20,"WP Saha, BB McCullum, RT Ponting, SC Ganguly, DJ Hussey, Mohammad Hafeez, LR Shukla, AB Agarkar, AB Dinda, M Kartik, I Sharma","AC Gilchrist, Y Venugopal Rao, VVS Laxman, A Symonds, RG Sharma, SB Styris, AS Yadav, SB Bangar, WPUJC Vaas, RP Singh, PP Ojha",2008
2008-04-20,2007/08,Mumbai,Wankhede Stadium,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,bat,165,7,166,5,Royal Challengers Bangalore,complete,0,5,MV Boucher,J Srinath,SJ Davis,DJ Harper,AV Jayaprakash,SN Bandekar,20,"L Ronchi, ST Jayasuriya, DJ Thornely, RV Uthappa, PR Shah, AM Nayar, SM Pollock, Harbhajan Singh, MA Khote, A Nehra, DS Kulkarni","S Chanderpaul, R Dravid, LRPL Taylor, JH Kallis, V Kohli, MV Boucher, B Akhil, P Kumar, Z Khan, SB Joshi, R Vinay Kumar",2008
2008-04-21,2007/08,Jaipur,Sawai Mansingh Stadium,Rajasthan Royals,Kings XI Punjab,Kings XI Punjab,bat,168,4,166,8,Rajasthan Royals,complete,0,6,SR Watson,S Venkataraghavan,Aleem Dar,RB Tiffin,I Shivram,MSS Ranawat,20,"M Kaif, Kamran Akmal, YK Pathan, SR Watson, DS Lehmann, RA Jadeja, Pankaj Singh, D Salunkhe, SK Warne, SK Trivedi, MM Patel","K Goel, JR Hopes, KC Sangakkara, DPMD Jayawardene, Yuvraj Singh, IK Pathan, S Sohal, B Lee, PP Chawla, WA Mota, S Sreesanth",2008
2008-04-22,2007/08,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,Delhi Daredevils,Deccan Chargers,bat,142,8,143,1,Delhi Daredevils,complete,0,9,V Sehwag,Talat Ali,IL Howell,AM Saheba,MR Benson,C Shamshuddin,20,"AC Gilchrist, Y Venugopal Rao, VVS Laxman, A Symonds, RG Sharma, Shahid Afridi, SB Bangar, AS Yadav, WPUJC Vaas, RP Singh, PP Ojha","G Gambhir, V Sehwag, S Dhawan, Shoaib Malik, KD Karthik, MK Tiwary, R Bhatia, MF Maharoof, Mohammad Asif, VY Mahesh, GD McGrath",2008
2008-04-23,2007/08,Chennai,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,208,5,202,7,Chennai Super Kings,complete,6,0,ML Hayden,FM Engineer,DJ Harper,GA Pratapkumar,BF Bowden,S Ravi,20,"PA Patel, ML Hayden, MEK Hussey, SK Raina, MS Dhoni, JDP Oram, S Badrinath, Joginder Sharma, P Amarnath, MS Gony, M Muralitharan","L Ronchi, ST Jayasuriya, RV Uthappa, SM Pollock, DJ Bravo, AM Nayar, MA Khote, Harbhajan Singh, A Nehra, VS Yeligati, DS Kulkarni",2008
2008-04-24,2007/08,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,Rajasthan Royals,Rajasthan Royals,field,214,5,217,7,Rajasthan Royals,complete,0,3,YK Pathan,S Venkataraghavan,Asad Rauf,MR Benson,SL Shastri,C Shamshuddin,20,"AC Gilchrist, VVS Laxman, Shahid Afridi, A Symonds, RG Sharma, AS Yadav, SB Bangar, WPUJC Vaas, RP Singh, PP Ojha, D Kalyankrishna","Kamran Akmal, GC Smith, YK Pathan, SR Watson, M Kaif, RA Jadeja, SK Warne, D Salunkhe, Pankaj Singh, SK Trivedi, MM Patel",2008
2008-04-25,2007/08,Chandigarh,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,182,10,116,9,Kings XI Punjab,complete,66,0,KC Sangakkara,FM Engineer,Aleem Dar,AM Saheba,RE Koertzen,HS Sekhon,20,"K Goel, IK Pathan, KC Sangakkara, Yuvraj Singh, RR Sarwan, DPMD Jayawardene, S Sohal, B Lee, PP Chawla, S Sreesanth, VRV Singh","L Ronchi, ST Jayasuriya, RV Uthappa, DJ Bravo, SS Tiwary, SM Pollock, AM Nayar, Harbhajan Singh, MA Khote, DS Kulkarni, A Nehra",2008
