date,season,city,venue,team1,team2,toss_winner,toss_decision,team1_runs,team1_wickets,team2_runs,team2_wickets,winner,result_type,win_by_runs,win_by_wickets,player_of_match,match_referee,umpire1,umpire2,tv_umpire,reserve_umpire,overs_limit,team1_players,team2_players
2017-04-05,2017,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,field,207,4,172,10,Sunrisers Hyderabad,complete,35,0,Yuvraj Singh,J Srinath,AY Dandekar,NJ Llong,A Deshmukh,N Pandit,20,"DA Warner, S Dhawan, MC Henriques, Yuvraj Singh, DJ Hooda, BCJ Cutting, NV Ojha, Bipul Sharma, B Kumar, A Nehra, Rashid Khan","CH Gayle, Mandeep Singh, TM Head, KM Jadhav, SR Watson, Sachin Baby, STR Binny, S Aravind, TS Mills, YS Chahal, A Choudhary"
2017-04-06,2017,Pune,Maharashtra Cricket Association Stadium,Rising Pune Supergiant,Mumbai Indians,Rising Pune Supergiant,field,187,3,184,8,Rising Pune Supergiant,complete,0,7,SPD Smith,M Nayyar,A Nand Kishore,S Ravi,VK Sharma,Navdeep Singh,20,"AM Rahane, MA Agarwal, SPD Smith, BA Stokes, MS Dhoni, MK Tiwary, R Bhatia, DL Chahar, A Zampa, AB Dinda, Imran Tahir","PA Patel, JC Buttler, RG Sharma, N Rana, AT Rayudu, KH Pandya, KA Pollard, HH Pandya, TG Southee, MJ McClenaghan, JJ Bumrah"
2017-04-07,2017,Rajkot,Saurashtra Cricket Association Stadium,Gujarat Lions,Kolkata Knight Riders,Kolkata Knight Riders,field,183,4,184,0,Kolkata Knight Riders,complete,0,10,CA Lynn,V Narayan Kutty,Nitin Menon,CK Nandan,YC Barde,K Srinivasan,20,"JJ Roy, BB McCullum, SK Raina, AJ Finch, KD Karthik, DR Smith, MS Gony, P Kumar, SB Jakati, DS Kulkarni, S Kaushik","G Gambhir, CA Lynn, RV Uthappa, MK Pandey, YK Pathan, SA Yadav, CR Woakes, PP Chawla, Kuldeep Yadav, SP Narine, TA Boult"
2017-04-08,2017,Indore,Holkar Cricket Stadium,Kings XI Punjab,Rising Pune Supergiant,Kings XI Punjab,field,164,4,163,6,Kings XI Punjab,complete,0,6,GJ Maxwell,Chinmay Sharma,AK Chaudhary,C Shamshuddin,KN Ananthapadmanabhan,R Pandit,20,"HM Amla, M Vohra, WP Saha, AR Patel, GJ Maxwell, DA Miller, MP Stoinis, Swapnil Singh, MM Sharma, Sandeep Sharma, T Natarajan","AM Rahane, MA Agarwal, SPD Smith, BA Stokes, MS Dhoni, MK Tiwary, DT Christian, R Bhatia, RD Chahar, Imran Tahir, AB Dinda"
2017-04-08,2017,Bengaluru,M.Chinnaswamy Stadium,Royal Challengers Bangalore,Delhi Daredevils,Royal Challengers Bangalore,bat,157,8,142,9,Royal Challengers Bangalore,complete,15,0,KM Jadhav,J Srinath,S Ravi,VK Sharma,A Nand Kishore,Navdeep Singh,20,"CH Gayle, SR Watson, Mandeep Singh, KM Jadhav, STR Binny, Vishnu Vinod, P Negi, Iqbal Abdulla, TS Mills, YS Chahal, B Stanlake","AP Tare, SW Billings, KK Nair, SV Samson, RR Pant, CH Morris, CR Brathwaite, PJ Cummins, A Mishra, S Nadeem, Z Khan"
2017-04-09,2017,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Gujarat Lions,Sunrisers Hyderabad,field,140,1,135,7,Sunrisers Hyderabad,complete,0,9,Rashid Khan,M Nayyar,A Deshmukh,NJ Llong,AY Dandekar,N Pandit,20,"DA Warner, S Dhawan, MC Henriques, Yuvraj Singh, DJ Hooda, BCJ Cutting, NV Ojha, Bipul Sharma, B Kumar, A Nehra, Rashid Khan","JJ Roy, BB McCullum, SK Raina, AJ Finch, KD Karthik, DR Smith, DS Kulkarni, P Kumar, Basil Thampi, Tejas Baroka, S Kaushik"
2017-04-09,2017,Mumbai,Wankhede Stadium,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,field,180,6,178,7,Mumbai Indians,complete,0,4,N Rana,S Chaturvedi,Nitin Menon,CK Nandan,YC Barde,K Srinivasan,20,"PA Patel, JC Buttler, N Rana, RG Sharma, KH Pandya, KA Pollard, HH Pandya, Harbhajan Singh, MJ McClenaghan, SL Malinga, JJ Bumrah","G Gambhir, CA Lynn, RV Uthappa, MK Pandey, YK Pathan, SA Yadav, CR Woakes, SP Narine, Kuldeep Yadav, AS Rajpoot, TA Boult"
2017-04-10,2017,Indore,Holkar Cricket Stadium,Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,150,2,148,4,Kings XI Punjab,complete,0,8,AR Patel,Chinmay Sharma,AK Chaudhary,C Shamshuddin,KN Ananthapadmanabhan,R Pandit,20,"M Vohra, HM Amla, AR Patel, GJ Maxwell, WP Saha, DA Miller, MP Stoinis, MM Sharma, Sandeep Sharma, VR Aaron, T Natarajan","SR Watson, Vishnu Vinod, AB de Villiers, KM Jadhav, Mandeep Singh, STR Binny, P Negi, Iqbal Abdulla, TS Mills, B Stanlake, YS Chahal"
2017-04-11,2017,Pune,Maharashtra Cricket Association Stadium,Rising Pune Supergiant,Delhi Daredevils,Rising Pune Supergiant,field,108,10,205,4,Delhi Daredevils,complete,97,0,SV Samson,J Srinath,AY Dandekar,S Ravi,A Nand Kishore,Navdeep Singh,20,"AM Rahane, MA Agarwal, F du Plessis, RA Tripathi, BA Stokes, MS Dhoni, R Bhatia, DL Chahar, A Zampa, AB Dinda, Imran Tahir","AP Tare, SW Billings, SV Samson, RR Pant, CJ Anderson, CH Morris, KK Nair, PJ Cummins, A Mishra, Z Khan, S Nadeem"
2017-04-12,2017,Mumbai,Wankhede Stadium,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,field,159,6,158,8,Mumbai Indians,complete,0,4,JJ Bumrah,M Nayyar,Nitin Menon,CK Nandan,YC Barde,K Srinivasan,20,"PA Patel, JC Buttler, RG Sharma, N Rana, KA Pollard, KH Pandya, HH Pandya, Harbhajan Singh, MJ McClenaghan, SL Malinga, JJ Bumrah","S Dhawan, DA Warner, DJ Hooda, Yuvraj Singh, BCJ Cutting, NV Ojha, V Shankar, Rashid Khan, B Kumar, A Nehra, Mustafizur Rahman"
2017-04-13,2017,Kolkata,Eden Gardens,Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders,field,171,2,170,9,Kolkata Knight Riders,complete,0,8,SP Narine,AJ Pycroft,A Deshmukh,NJ Llong,AY Dandekar,N Pandit,20,"SP Narine, G Gambhir, RV Uthappa, MK Pandey, YK Pathan, SA Yadav, CR Woakes, C de Grandhomme, PP Chawla, UT Yadav, TA Boult","HM Amla, M Vohra, MP Stoinis, GJ Maxwell, DA Miller, WP Saha, AR Patel, MM Sharma, VR Aaron, Sandeep Sharma, I Sharma"
2017-04-14,2017,Bangalore,M Chinnaswamy Stadium,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,142,5,145,6,Mumbai Indians,complete,0,4,KA Pollard,Chinmay Sharma,KN Ananthapadmanabhan,AK Chaudhary,C Shamshuddin,R Pandit,20,"CH Gayle, V Kohli, AB de Villiers, KM Jadhav, P Negi, Mandeep Singh, STR Binny, TS Mills, S Aravind, YS Chahal, S Badree","PA Patel, JC Buttler, RG Sharma, MJ McClenaghan, N Rana, KA Pollard, KH Pandya, HH Pandya, Harbhajan Singh, JJ Bumrah, TG Southee"
2017-04-14,2017,Rajkot,Saurashtra Cricket Association Stadium,Gujarat Lions,Rising Pune Supergiant,Gujarat Lions,field,172,3,171,8,Gujarat Lions,complete,0,7,AJ Tye,J Srinath,A Nand Kishore,S Ravi,VK Sharma,Navdeep Singh,20,"DR Smith, BB McCullum, SK Raina, KD Karthik, AJ Finch, Ishan Kishan, RA Jadeja, P Kumar, Basil Thampi, AJ Tye, SB Jakati","AM Rahane, RA Tripathi, SPD Smith, BA Stokes, MK Tiwary, MS Dhoni, Ankit Sharma, SN Thakur, LH Ferguson, RD Chahar, Imran Tahir"
2017-04-15,2017,Delhi,Feroz Shah Kotla,Delhi Daredevils,Kings XI Punjab,Delhi Daredevils,bat,188,6,137,9,Delhi Daredevils,complete,51,0,CJ Anderson,S Chaturvedi,YC Barde,Nitin Menon,CK Nandan,K Srinivasan,20,"SV Samson, SW Billings, KK Nair, SS Iyer, RR Pant, CJ Anderson, CH Morris, PJ Cummins, A Mishra, Z Khan, S Nadeem","M Vohra, HM Amla, WP Saha, EJG Morgan, DA Miller, GJ Maxwell, AR Patel, MM Sharma, KC Cariappa, Sandeep Sharma, VR Aaron"
2017-04-15,2017,Kolkata,Eden Gardens,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,field,172,6,155,6,Kolkata Knight Riders,complete,17,0,RV Uthappa,AJ Pycroft,AY Dandekar,NJ Llong,A Deshmukh,N Pandit,20,"SP Narine, G Gambhir, RV Uthappa, MK Pandey, YK Pathan, SA Yadav, C de Grandhomme, CR Woakes, Kuldeep Yadav, UT Yadav, TA Boult","DA Warner, S Dhawan, MC Henriques, Yuvraj Singh, DJ Hooda, BCJ Cutting, NV Ojha, Bipul Sharma, B Kumar, Rashid Khan, A Nehra"
